Gene ID,Gene Description,Gene Accession Number
30,AFFX-ThrX-3_at (endogenous control),AFFX-ThrX-3_at
31,AFFX-TrpnX-5_at (endogenous control),AFFX-TrpnX-5_at
32,AFFX-TrpnX-M_at (endogenous control),AFFX-TrpnX-M_at
33,AFFX-TrpnX-3_at (endogenous control),AFFX-TrpnX-3_at
34,AFFX-HUMISGF3A/M97935_5_at (endogenous control),AFFX-HUMISGF3A/M97935_5_at
35,AFFX-HUMISGF3A/M97935_MA_at (endogenous control),AFFX-HUMISGF3A/M97935_MA_at
36,AFFX-HUMISGF3A/M97935_MB_at (endogenous control),AFFX-HUMISGF3A/M97935_MB_at
37,AFFX-HUMISGF3A/M97935_3_at (endogenous control),AFFX-HUMISGF3A/M97935_3_at
38,AFFX-HUMRGE/M10098_5_at (endogenous control),AFFX-HUMRGE/M10098_5_at
39,AFFX-HUMRGE/M10098_M_at (endogenous control),AFFX-HUMRGE/M10098_M_at
40,AFFX-HUMRGE/M10098_3_at (endogenous control),AFFX-HUMRGE/M10098_3_at
41,AFFX-HUMGAPDH/M33197_5_at (endogenous control),AFFX-HUMGAPDH/M33197_5_at
42,AFFX-HUMGAPDH/M33197_M_at (endogenous control),AFFX-HUMGAPDH/M33197_M_at
43,AFFX-HUMGAPDH/M33197_3_at (endogenous control),AFFX-HUMGAPDH/M33197_3_at
44,AFFX-HSAC07/X00351_5_at (endogenous control),AFFX-HSAC07/X00351_5_at
45,AFFX-HSAC07/X00351_M_at (endogenous control),AFFX-HSAC07/X00351_M_at
46,AFFX-HSAC07/X00351_3_at (endogenous control),AFFX-HSAC07/X00351_3_at
47,AFFX-HUMTFRR/M11507_5_at (endogenous control),AFFX-HUMTFRR/M11507_5_at
48,AFFX-HUMTFRR/M11507_M_at (endogenous control),AFFX-HUMTFRR/M11507_M_at
49,AFFX-HUMTFRR/M11507_3_at (endogenous control),AFFX-HUMTFRR/M11507_3_at
50,AFFX-M27830_5_at (endogenous control),AFFX-M27830_5_at
51,AFFX-M27830_M_at (endogenous control),AFFX-M27830_M_at
52,AFFX-M27830_3_at (endogenous control),AFFX-M27830_3_at
53,AFFX-HSAC07/X00351_3_st (endogenous control),AFFX-HSAC07/X00351_3_st
54,AFFX-HUMGAPDH/M33197_5_st (endogenous control),AFFX-HUMGAPDH/M33197_5_st
55,AFFX-HUMGAPDH/M33197_M_st (endogenous control),AFFX-HUMGAPDH/M33197_M_st
56,AFFX-HUMGAPDH/M33197_3_st (endogenous control),AFFX-HUMGAPDH/M33197_3_st
57,AFFX-HSAC07/X00351_5_st (endogenous control),AFFX-HSAC07/X00351_5_st
58,AFFX-HSAC07/X00351_M_st (endogenous control),AFFX-HSAC07/X00351_M_st
59,GB DEF = GABAa receptor alpha-3 subunit,A28102_at
60,Osteomodulin,AB000114_at
61,mRNA,AB000115_at
62,Semaphorin E,AB000220_at
63,MNK1,AB000409_at
64,VRK1,AB000449_at
65,VRK2,AB000450_at
66,mRNA; clone RES4-22A,AB000460_at
67,SH3 binding protein; clone RES4-23A,AB000462_at
68,mRNA; clone RES4-24A; exon 1; 2; 3; 4,AB000464_at
69,mRNA; clone RES4-24C; exon 1; 2; 3,AB000466_at
70,mRNA; clone RES4-25; partial cds,AB000467_at
71,Zinc finger protein; clone RES4-26,AB000468_at
72,Prostate differentiation factor mRNA,AB000584_at
73,GB DEF = Cadherin FIB1; partial cds,AB000895_at
74,GB DEF = Cadherin FIB2; partial cds,AB000896_at
75,GB DEF = Cadherin FIB3; partial cds,AB000897_at
76,GB DEF = DNA for H4 histone,AB000905_at
77,GLIA MATURATION FACTOR BETA,AB001106_at
78,AQP3 Aquaporin 3,AB001325_at
79,KIAA0316 gene,AB002314_at
80,KIAA0317 gene,AB002315_at
81,KIAA0320 gene; partial cds,AB002318_at
82,KIAA0367 gene; partial cds,AB002365_at
83,KIAA0368 gene; partial cds,AB002366_at
84,KIAA0382 gene; partial cds,AB002380_at
85,KIAA0384 gene,AB002382_at
86,GB DEF = SLC,AB002409_at
87,Hunc18b2,AB002559_at
88,Proteasome subunit p44.5,AB003102_at
89,Proteasome subunit p55,AB003103_at
90,Proteasome subunit p27,AB003177_at
91,Cdc7-related kinase,AB003698_at
92,PKU-alpha; partial cds,AB004884_at
93,Aquaporin 6,AB006190_at
94,WUGSC:H_133K23.1c gene extracted from Human BAC clone 133K23 from 7q31.2,AC000061_cds2_at
95,WUGSC:H_133K23.1c gene extracted from Human BAC clone 133K23 from 7q31.2,AC000061_cds3_at
96,GB DEF = PAC clone 2G3A from 13q12-13q13; complete sequence,AC000062_at
97,WUGSC:H_RG083M05.2 gene extracted from Human BAC clone RG083M05 from 7q21-7q22,AC000064_cds1_at
98,WUGSC:H_RG083M05.1 gene extracted from Human BAC clone RG083M05 from 7q21-7q22,AC000064_cds2_at
99,GB DEF = BAC clone RG293F11 from 7q21-7q22; complete sequence,AC000066_at
100,Metabotropic glutamate receptor 8 mRNA,AC000099_at
101,WUGSC:H_GS188P18.1a gene extracted from Human BAC clone GS188P18,AC000115_cds1_at
102,A-589H1.1 from  Homo sapiens Chromosome 16 BAC clone CIT987-SKA-589H1  ~complete genomic sequence; complete sequence./ntype=DNA /annot=mRNA,AC002045_xpt1_at
103,WUGSC:DJ515N1.2 gene extracted from Human PAC clone DJ515N1 from 22q11.2-q22,AC002073_cds1_at
104,GUANINE NUCLEOTIDE-BINDING PROTEIN G(T); ALPHA-1 SUBUNIT,AC002077_at
105,GB DEF = PAC clone DJ525N14 from Xq23; complete sequence,AC002086_at
106,COX6B gene (COXG) extracted from Human DNA from overlapping chromosome 19 cosmids R31396; F25451; and R31076 containing COX6B and UPKA; genomic sequence,AC002115_cds1_at
107,F25451_3 gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396; F25451; and R31076 containing COX6B and UPKA; genomic sequence,AC002115_cds3_at
108,UPKA gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396; F25451; and R31076 containing COX6B and UPKA; genomic sequence,AC002115_cds4_at
109,F25451_2 gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396; F25451; and R31076 containing COX6B and UPKA; genomic sequence,AC002115_rna2_at
110,GB DEF = BAC clone GS244B22 from 7q21-q22; complete sequence,AC002450_at
111,GB DEF = BAC clone RG331P03; complete sequence,AC002464_at
112,GB DEF = BAC clone RG367O17 from 7p15-p21; complete sequence,AC002486_at
113,Hypothetical human serine-threonine protein kinase R31240_1 gene extracted from Homo sapiens DNA from chromosome 19p13.2 cosmids R31240; R30272 and R28549 containing the EKLF; GCDH; CRTC; and RAD23A genes; genomic sequence,AD000092_cds1_at
114,Hypothetical human protein R31240_2 gene extracted from Homo sapiens DNA from chromosome 19p13.2 cosmids R31240; R30272 and R28549 containing the EKLF; GCDH; CRTC; and RAD23A genes; genomic sequence,AD000092_cds2_at
115,LISCH7 gene (liver-specific bHLH-Zip transcription factor) extracted from Homo sapiens DNA from chromosome 19-cosmid R30879 containing USF2; genomic sequence,AD000684_cds1_at
116,Comment for location 3447-3655: BLASTX gi|103290|pir||S16356 ovo protein - fruit fly (Drosophila melanogaster); PVal= 3.8e-47 gene extracted from Homo sapiens DNA from chromosome 19-cosmid f24590 containing CAPNS and POL2RI; genomic sequence,AD001527_cds1_at
117,Sm-like protein CaSm (CaSm) mRNA,AF000177_at
118,RAS-RELATED PROTEIN RAB-11A,AF000231_at
119,P2x purinoceptor mRNA,AF000234_at
120,Dynamin-like protein mRNA,AF000430_at
121,GB DEF = Putative purinergic receptor P2Y10 gene,AF000545_at
122,TTF-I interacting peptide 20 mRNA; partial cds,AF000560_at
123,Uroplakin II mRNA; partial cds,AF000562_at
124,Homogentisate 1;2-dioxygenase gene,AF000573_rna1_at
125,Transmembrane protein mRNA,AF000959_at
126,IPL (IPL) mRNA,AF001294_at
127,Trabecular meshwork inducible glucocorticoid response protein (TIGR) mRNA,AF001620_at
128,Niemann-Pick C disease protein (NPC1) mRNA,AF002020_at
129,GB DEF = Angelman Syndrome Gene; E6-AP ubiquitin protein ligase 3A (UBE3A) mRNA from promoter P1; 5'UTR,AF002224_at
130,RET ligand 2 (RETL2) mRNA,AF002700_at
131,GB DEF = Delayed rectifier potassium channel (KVLQT1-Iso5) mRNA; 5' UTR and partial cds,AF003743_at
132,GB DEF = Secretory carrier membrane protein (SCAMP1) mRNA,AF005037_at
133,Poly(ADP-ribose) glycohydrolase (hPARG) mRNA,AF005043_at
134,GB DEF = Importin alpha 6 mRNA,AF005361_at
135,Caspase-like apoptosis regulatory protein 2 (clarp) mRNA; alternatively spliced,AF005775_at
136,ATF family member ATF6 (ATF6) mRNA,AF005887_at
137,Fas-binding protein (DAXX) mRNA; partial cds,AF006041_at
138,Arp2/3 protein complex subunit p41-Arc (ARC41) mRNA,AF006084_at
139,Arp2/3 protein complex subunit p20-Arc (ARC20) mRNA,AF006087_at
140,GB DEF = RGS3 mRNA; 5' UTR,AF006609_at
141,MDM2-like p53-binding protein (MDMX) mRNA,AF007111_at
142,Bet1p homolog (hbet1) mRNA,AF007551_at
143,Dolichol monophosphate mannose synthase (DPM1) mRNA; partial cds,AF007875_at
144,Phospholipid scramblase mRNA,AF008445_at
145,GB DEF = Syntaxin-16C mRNA,AF008937_at
146,GB DEF = TEB4 protein mRNA,AF009301_at
147,GB DEF = Luman mRNA,AF009368_at
148,Clone 22 mRNA; alternative splice variant alpha-1,AF009426_at
149,Axin (AXIN) mRNA; partial cds,AF009674_at
150,MAD-related gene SMAD7 (SMAD7) mRNA,AF010193_at
151,Peropsin (Rrh) mRNA,AF012270_at
152,Chemokine receptor X (CKRX) mRNA,AF014958_at
153,GB DEF = Unknown protein mRNA; partial cds,AF015910_at
154,GB DEF = SKB1Hs mRNA,AF015913_at
155,GB DEF = Telomerase reverse transcriptase (hTRT) mRNA,AF015950_at
156,GB DEF = C8FW phosphoprotein,AJ000480_at
157,GB DEF = Matrilin-3,AJ001047_at
158,GB DEF = Rer1 protein,AJ001421_at
159,GB DEF = Transformation-sensitive protein; 3'UTR,AJ001487_at
160,ANX2 Annexin II (lipocortin II),D00017_at
161,CHC1 Chromosome condensation 1,D00591_at
162,TYMS Thymidylate synthase,D00596_at
163,GPX3 Glutathione peroxidase 3 (plasma),D00632_at
164,Enteric smooth muscle gamma-actin gene; 5' flank and,D00654_at
165,GCSH Glycine cleavage system protein H (aminomethyl carrier),D00723_at
166,FECH Ferrochelatase (protoporphyria),D00726_at
167,PSMA3 Proteasome component C3,D00760_at
168,PSMA5 Proteasome component C5,D00761_at
169,PROTEASOME COMPONENT C8,D00762_at
170,GAPD Glyceraldehyde-3-phosphate dehydrogenase,D00763_at
171,PTAFR Platelet activating factor receptor,D10202_at
172,PRKCD Protein kinase C; delta,D10495_at
173,ACAT1 Acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase),D10511_at
174,MACS Myristoylated alanine-rich C-kinase substrate,D10522_at
175,OGDH Oxoglutarate dehydrogenase (lipoamide),D10523_at
176,CRK V-crk avian sarcoma virus CT10 oncogene homolog,D10656_at
177,CHK Choline kinase ,D10704_at
178,PROBABLE G PROTEIN-COUPLED RECEPTOR HM74,D10923_at
179,GB DEF = Serotonin 1B receptor,D10995_at
180,IL2RG Interleukin 2 receptor gamma chain,D11086_at
181,26S PROTEASE REGULATORY SUBUNIT 7,D11094_at
182,TIMP1 Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity; collagenase inhibitor),D11139_at
183,EDNRA Endothelin receptor type A,D11151_at
184,PMP22 Peripheral myelin protein 22,D11428_at
185,Plasma cell membrane glycoprotein (PC-1) mRNA,D12485_at
186,NF1 Neurofibromin,D12625_at
187,Lysosomal sialoglycoprotein,D12676_at
188,EIF4G Eukaryotic translation initiation factor 4 (eIF-4) gamma,D12686_at
189,ST2 Suppression of tumorigenicity 2,D12763_at
190,ATP SYNTHASE LIPID-BINDING PROTEIN P1 PRECURSOR,D13118_at
191,EDNRB Endothelin receptor type B,D13168_at
192,MSR1 Macrophage scavenger receptor 1,D13264_at
193,CCKBR Cholecystokinin B receptor,D13305_at
194,GLO1 Glyoxalase I,D13315_at
195,DNA-(APURINIC OR APYRIMIDINIC SITE) LYASE,D13370_at
196,PIGF Phosphatidylinositol glycan; class F,D13435_at
197,PTPN11 Protein tyrosine phosphatase; non-receptor type 11,D13540_at
198,KIAA0001 gene,D13626_at
199,KIAA0002 gene,D13627_at
200,ANGPT1 Angiopoietin 1,D13628_at
201,KIAA0005 gene,D13630_at
202,KIAA0008 gene,D13633_at
203,KIAA0009 gene,D13634_at
204,KIAA0010 gene,D13635_at
205,KIAA0011 gene,D13636_at
206,KIAA0012 gene,D13637_at
207,CCND2 Cyclin D2,D13639_at
208,HLA-C Major histocompatibility complex; class I; C,D13640_at
209,KIAA0016 gene,D13641_at
210,KIAA0017 gene,D13642_at
211,KIAA0018 gene,D13643_at
212,40S RIBOSOMAL PROTEIN S17,D13644_at
213,KIAA0020 gene,D13645_at
214,EIF4A1 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 1,D13748_at
215,MGAT3 Mannosyl(beta-1;4-)-glycoprotein beta-1;4-N-acetylglucosaminyltransferase,D13789_at
216,Peptide YY precursor gene extracted from Human DNA for peptide YY,D13897_rna2_at
217,Mitochondrial short-chain enoyl-CoA hydratase,D13900_at
218,DNA-BINDING PROTEIN MEL-18,D13969_at
219,Rab GDI mRNA,D13988_at
220,PUTATIVE MUCIN CORE PROTEIN PRECURSOR 24,D14043_at
221,RECA Replication protein A (E coli RecA homolog; RAD51 homolog),D14134_at
222,HFREP-1 mRNA for unknown protein,D14446_at
223,COT Proto-oncogene c-cot (protein-serine/threonine kinase),D14497_at
224,GC-Box binding protein BTEB2,D14520_at
225,40S RIBOSOMAL PROTEIN S23,D14530_at
226,XPA Xeroderma pigmentosum; complementation group A,D14533_at
227,KIAA0101 gene,D14657_at
228,KIAA0102 gene,D14658_at
229,KIAA0103 gene,D14659_at
230,PUTATIVE 60S RIBOSOMAL PROTEIN,D14660_at
231,KIAA0105 gene,D14661_at
232,KIAA0106 gene,D14662_at
233,KIAA0107 gene,D14663_at
234,KIAA0022 gene,D14664_at
235,Kinesin-related protein; partial cds,D14678_at
236,AMT Glycine cleavage system protein T (aminomethyltransferase),D14686_at
237,NUCLEAR PORE COMPLEX PROTEIN NUP214,D14689_at
238,PHOSPHATIDYLSERINE SYNTHASE I,D14694_at
239,APOA2 Apolipoprotein A-II,D14695_at
240,ATP5A1 ATP synthase; H+ transporting; mitochondrial F1 complex; alpha subunit; isoform 1; cardiac muscle,D14710_at
241,KIAA0110 gene,D14811_at
242,KIAA0026 gene,D14812_at
243,GB DEF = Chimeric mRNA derived from AML1 gene and MTG8(ETO) gene; partial sequence,D14822_at
244,GB DEF = Chimeric mRNA derived from AML1 gene and MTG8(ETO) gene; partial sequence,D14823_at
245,GB DEF = Tax helper protein 1,D14827_at
246,FGF9 Fibroblast growth factor 9 (glia-activating factor),D14838_at
247,ADM Adrenomedullin,D14874_at
248,Protein D123,D14878_at
249,Small GTP-binding protein; S10,D14889_at
250,PTPRH Protein tyrosine phosphatase,D15049_at
251,Transcription factor AREB6,D15050_at
252,DEFENDER AGAINST CELL DEATH 1,D15057_at
253,PMP2 Peripheral myelin protein 2,D16181_at
254,CAST Calpastatin,D16217_at
255,HPCAL1 Hippocalcin-like 1,D16227_at
256,3-KETOACYL-COA THIOLASE MITOCHONDRIAL,D16294_at
257,SA mRNA for SA gene product,D16350_at
258,ORF; Xq terminal portion,D16469_at
259,VLDLR Very low density lipoprotein receptor,D16532_at
260,ATP SYNTHASE GAMMA CHAIN; MITOCHONDRIAL PRECURSOR,D16562_at
261,MTH1 MutT (E. coli) human homolog (8-oxo-7;8-dihydroguanosine triphosphatase),D16581_at
262,HDC Histidine decarboxylase,D16583_at
263,HPCA Hippocalcin,D16593_at
264,HAL Histidine ammonia-lyase,D16626_at
265,EAR-1r,D16815_at
266,GB DEF = Activin beta-A gene; regulatory sequence of 5'upstream region,D17357_at
267,MDC protein,D17390_at
268,Alpha 4(IV) collagen; C-terminal,D17391_at
269,PTS 6-pyruvoyltetrahydropterin synthase,D17400_at
270,GB DEF = GULO gene for L-gulono-gamma-lactone oxidase; exon 9;10 and 12,D17461_at
271,GB DEF = PACAP receptor,D17516_at
272,CRARF C4/C2 activating component of Ra-reactive factor,D17525_at
273,GB DEF = N-acetylglucosaminyltransferase V,D17716_at
274,KIAA0030 gene; partial cds,D21063_at
275,XPC Xeroderma pigmentosum; complementation group C,D21089_at
276,XP-C repair complementing protein (p58/HHR23B),D21090_at
277,KIAA0031 gene,D21163_at
278,Estrogen responsive finger protein,D21205_at
279,C3G protein,D21239_at
280,CDH11 Cadherin 11 (OB-cadherin),D21255_at
281,60S RIBOSOMAL PROTEIN L23,D21260_at
282,SM22-ALPHA HOMOLOG,D21261_at
283,KIAA0035 gene; partial cds,D21262_at
284,SYNAPTOSOMAL ASSOCIATED PROTEIN 25,D21267_at
285,COL4A6 Collagen; type IV; alpha 6,D21337_at
286,KIAA0028 gene; partial cds,D21851_at
287,KIAA0029 gene; partial cds,D21852_at
288,EUKARYOTIC INITIATION FACTOR 4A-LIKE NUK-34,D21853_at
289,BST-1,D21878_at
290,RPL4 Ribosomal protein L4,D23660_at
291,UBL1 Ubiquitin-like protein,D23662_at
292,mRNA; clone HH109 (screened by the monoclonal antibody of insulin receptor substrate-1 (IRS-1)),D23673_at
293,KIAA0032 gene,D25215_at
294,KIAA0014 gene,D25216_at
295,KIAA0027 gene; partial cds,D25217_at
296,KIAA0112 gene; partial cds,D25218_at
297,Randomly sequenced mRNA,D25248_at
298,Randomly sequenced mRNA,D25274_at
299,KIAA0036 gene,D25278_at
300,Integrin alpha subunit,D25303_at
301,PFKP Phosphofructokinase; platelet,D25328_at
302,KIAA0037 gene,D25538_at
303,KIAA0040 gene,D25539_at
304,PIMT isozyme I,D25547_at
305,KIAA0039 gene; partial cds,D26018_at
306,KIAA0033 gene; partial cds,D26067_at
307,KIAA0038 gene; partial cds,D26068_at
308,KIAA0041 gene; partial cds,D26069_at
309,RNS1 Ribonuclease A (pancreatic),D26129_at
310,DAGK3 Diacylglycerol kinase; gamma (90kD),D26135_at
311,NADPH-flavin reductase,D26308_at
312,Type 2 inositol 1;4;5-trisphosphate receptor,D26350_at
313,KIAA0042 gene,D26361_at
314,KIAA0043 gene,D26362_at
315,EXCITATORY AMINO ACID TRANSPORTER 1,D26443_at
316,GB DEF = RNA helicase,D26528_at
317,ORF for L1 protein gene extracted from Human papillomavirus 5b genome integrated into human carcinoma DNA,D26561_cds1_at
318,ORF for E6 protein gene extracted from Human papillomavirus 5b genome integrated into human carcinoma DNA,D26561_cds2_at
319,ORF for E7 protein gene extracted from Human papillomavirus 5b genome integrated into human carcinoma DNA,D26561_cds3_at
320,Transmembrane protein,D26579_at
321,Proteasome subunit HsC10-II,D26598_at
322,Proteasome subunit HsC7-I,D26599_at
323,PROTEASOME BETA CHAIN PRECURSOR,D26600_at
324,MOBP Myelin-associated oligodendrocytic basic protein,D28114_at
325,DB1,D28118_at
326,Unknown product,D28124_at
327,RPS11 Ribosomal protein S11,D28137_at
328,GB DEF = Annexin II; 5'UTR (sequence from the 5'cap to the start codon),D28364_at
329,GB DEF = ATP synthase B chain; 5'UTR (sequence from the 5'cap to the start codon),D28383_at
330,GB DEF = Esterase D; 5'UTR (sequence from the 5'cap to the start codon),D28416_at
331,GB DEF = Pre-mRNA splicing factor SRp20; 5'UTR (sequence from the 5'cap to the start codon),D28423_at
332,KIAA0045 gene,D28476_at
333,Scr3 mRNA for RNA binding protein SCR3,D28483_at
334,Renal Na+-dependent phosphate cotransporter,D28532_at
335,SP2 Sp2 transcription factor,D28588_at
336,GB DEF = mRNA (KIAA00167); partial sequence,D28589_at
337,Hepatitis C-associated microtubular aggregate protein p44,D28915_at
338,PSMB6 Proteasome (prosome; macropain) subunit; beta type; 6,D29012_at
339,POLB DNA polymerase beta subunit,D29013_at
340,HYPOTHETICAL MYELOID CELL LINE PROTEIN 2,D29641_at
341,HYPOTHETICAL MYELOID CELL LINE PROTEIN 3,D29642_at
342,KIAA0115 gene,D29643_at
343,HYPOTHETICAL MYELOID CELL LINE PROTEIN 5,D29677_at
344,Unknown product; partial cds,D29810_at
345,Salivary proline rich peptide P-B,D29833_at
346,HYPOTHETICAL MYELOID CELL LINE PROTEIN 6,D29954_at
347,PROBABLE UBIQUITIN CARBOXYL-TERMINAL HYDROLASE,D29956_at
348,KIAA0116 gene; partial cds,D29958_at
349,Platelet-endothelial tetraspan antigen 3 mRNA,D29963_at
350,PHOSPHATIDYLINOSITOL,D30036_at
351,PHOSPHATIDYLINOSITOL,D30037_at
352,EIF4A2 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 2,D30655_at
353,CAMK4 Calcium/calmodulin-dependent protein kinase IV,D30742_at
354,VIM Vimentin,D30755_at
355,KIAA0108 gene,D30756_at
356,KIAA0050 gene,D30758_at
357,GC box bindig protein,D31716_at
358,KIAA0057 gene,D31762_at
359,KIAA0065 gene; partial cds,D31763_at
360,KIAA0064 gene,D31764_at
361,KIAA0061 gene; partial cds,D31765_at
362,PUTATIVE GLUCOSAMINE-6-PHOSPHATE ISOMERASE,D31766_at
363,KIAA0058 gene,D31767_at
364,Cadherin-6,D31784_at
365,CD40LG CD40 antigen ligand (hyper IgM syndrome),D31797_at
366,SMP-30 (senescence marker protein-30),D31815_at
367,AQP2 Aquaporin 2 (collecting duct),D31846_at
368,KIAA0059 gene,D31883_at
369,KIAA0063 gene,D31884_at
370,KIAA0069 gene; partial cds,D31885_at
371,KIAA0066 gene; partial cds,D31886_at
372,KIAA0062 gene; partial cds,D31887_at
373,KIAA0071 gene; partial cds,D31888_at
374,KIAA0070 gene; partial cds,D31890_at
375,KIAA0067 gene,D31891_at
376,Doc2 (Double C2),D31897_at
377,GB DEF = HuSAA1g gene for serum amyloid A1 gamma; exon 3 and intron 3,D32001_at
378,AARS Alanyl-tRNA synthetase,D32050_at
379,ADRA1C Adrenergic; alpha-1C-; receptor,D32202_at
380,RNS4 Ribonuclease 4 (2';5'-oligoisoadenylate synthetase-dependent),D37931_at
381,PDGF receptor beta-like tumor suppressor (PRLTS),D37965_at
382,FK-506 binding protein (fkbp12.6) gene,D38037_at
383,26S PROTEASOME REGULATORY SUBUNIT P31,D38047_at
384,Proteasome subunit z,D38048_at
385,RANBP1 RAN binding protein 1,D38076_at
386,PTGIR Prostaglandin I2 (prostacyclin) receptor (IP),D38128_at
387,Prostacyclin synthase,D38145_at
388,Clathrin-like protein,D38293_at
389,Tob,D38305_at
390,G protein-coupled receptor,D38449_at
391,GB DEF = A1 chain of type XIX collagen; exon +3',D38462_at
392,HYPOTHETICAL MYELOID CELL LINE PROTEIN 7,D38491_at
393,PMS8 mRNA (yeast mismatch repair gene PMS1 homologue); partial cds (C-terminal region),D38500_at
394,PMS8 mRNA (yeast mismatch repair gene PMS1 homologue); partial cds (C-terminal region),D38503_at
395,KIAA0077 gene; partial cds,D38521_at
396,KIAA0080 gene; partial cds,D38522_at
397,NT5 5' nucleotidase (CD73),D38524_at
398,PK-120,D38535_at
399,KIAA0076 gene,D38548_at
400,KIAA0068 gene; partial cds,D38549_at
401,KIAA0075 gene; partial cds,D38550_at
402,KIAA0078 gene,D38551_at
403,KIAA0073 gene; partial cds,D38552_at
404,KIAA0074 gene; partial cds,D38553_at
405,KIAA0079 gene,D38555_at
406,Calgizzarin,D38583_at
407,Kid (kinesin-like DNA binding protein),D38751_at
408,KIAA0087 gene,D42038_at
409,KIAA0081 gene; partial cds,D42039_at
410,KIAA0088 gene; partial cds,D42041_at
411,KIAA0084 gene; partial cds,D42043_at
412,KIAA0090 gene; partial cds,D42044_at
413,KIAA0086 gene,D42045_at
414,KIAA0083 gene; partial cds,D42046_at
415,KIAA0089 gene; partial cds,D42047_at
416,KIAA0091 gene,D42053_at
417,KIAA0092 gene,D42054_at
418,NEDD-4 PROTEIN,D42055_at
419,RanBP2 (Ran-binding protein 2),D42063_at
420,NF1 Neurofibromin,D42072_at
421,Reticulocalbin,D42073_at
422,KIAA0094 gene; partial cds,D42084_at
423,KIAA0095 gene,D42085_at
424,KIAA0118 gene; partial cds,D42087_at
425,Phospholipase C,D42108_at
426,ESP1/CRP2,D42123_at
427,PIG-B,D42138_at
428,KIAA0096 gene; partial cds,D43636_at
429,ETO mRNA,D43638_at
430,YL-1 mRNA for YL-1 protein (nuclear protein with DNA-binding ability),D43642_at
431,Chemokine,D43767_at
432,LYMPHOTACTIN PRECURSOR,D43768_at
433,Squamous cell carcinama of esophagus mRNA for GRB-7 SH2 domain protein,D43772_at
434,KIAA0100 gene,D43947_at
435,KIAA0097 gene,D43948_at
436,KIAA0082 gene; partial cds,D43949_at
437,T-COMPLEX PROTEIN 1; EPSILON SUBUNIT,D43950_at
438,ATP SYNTHASE GAMMA CHAIN; MITOCHONDRIAL PRECURSOR,D43951_at
439,Proteasome subunit p112,D44466_at
440,Proteasome activator hPA28 subunit beta,D45248_at
441,ApM2 mRNA for GS2374 (unknown product specific to adipose tissue),D45370_at
442,ApM1 mRNA for GS3109 (novel adipose specific collagen-like factor),D45371_at
443,Cone-specific cGMP phosphodiesterase gamma subunit,D45399_at
444,LIMK-2,D45906_at
445,S-ADENOSYLMETHIONINE SYNTHETASE ALPHA AND BETA FORMS,D49357_at
446,GB DEF = NADP dependent leukotriene b4 12-hydroxydehydrogenase; partial cds,D49387_at
447,HTR3 5-hydroxytryptamine (serotonin) receptor 3,D49394_at
448,Apo1_Human (MER5(Aop1-Mouse)-like protein),D49396_at
449,Fetus brain mRNA for vacuolar ATPase,D49400_at
